,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"(6, 1, 40, 3, 0, 0)","(6, 1, 43, 3, 0, 1)","(9, 2, 65, 3, 0, 0)","(9, 4, 85, 3, 1, 0)","(4, 7, 61, 3, 0, 0)","(4, 7, 60, 3, 0, 0)","(9, 8, 53, 3, 0, 1)","(9, 9, 53, 3, 0, 1)","(8, 9, 18, 3, 0, 1)","(9, 10, 45, 3, 0, 1)","(9, 11, 73, 3, 0, 0)",,,,
1,2,0,2,3,3,1,0,2,2,1,0,,,,
2,9.65018518443408,-2.6933562070658184,5.211471257973573,32.15833740900325,5.0,-2.3788786871789007,11.095738188409452,10.275162288269238,10.000617927996792,20.525491097460268,11.560806406874109,,,,
0,"(6, 0, 71, 3, 1, 1)","(9, 1, 71, 3, 0, 1)","(4, 5, 75, 3, 0, 1)","(9, 8, 14, 3, 0, 1)",,,,,,,,,,,
1,0,3,1,3,,,,,,,,,,,
2,-2.769151184772058,31.224575619971787,10.640708862455856,27.763279979823032,,,,,,,,,,,
0,"(6, 1, 54, 3, 0, 0)","(6, 2, 52, 3, 0, 0)","(9, 4, 45, 3, 0, 0)","(9, 5, 45, 3, 0, 0)","(9, 6, 45, 3, 0, 0)","(9, 6, 45, 3, 0, 1)","(4, 7, 42, 3, 1, 0)","(7, 10, 74, 3, 0, 1)","(9, 11, 71, 3, 1, 0)",,,,,,
1,3,2,4,1,4,3,0,2,2,,,,,,
2,22.136455554039504,-11.526991007376385,-0.0,-0.0,6.240280333832384,26.65439310734088,14.977965782933941,1.1215388306797633,5.501855489758114,,,,,,
0,"(7, 1, 11, 3, 0, 0)","(6, 2, 48, 3, 0, 0)","(9, 4, 45, 3, 0, 0)","(9, 5, 45, 3, 0, 0)","(9, 6, 45, 3, 0, 0)","(9, 6, 51, 2, 0, 0)","(4, 7, 36, 3, 1, 0)","(9, 8, 25, 2, 0, 0)",,,,,,,
1,3,2,4,1,4,3,1,3,,,,,,,
2,41.811850498348456,-10.754035989840673,-0.0,-0.0,11.454087636031325,20.617663439612727,10.86150590539765,10.872703236415807,,,,,,,
0,"(6, 0, 88, 3, 0, 0)","(9, 1, 88, 3, 0, 0)","(9, 2, 88, 3, 1, 0)","(9, 3, 88, 3, 0, 0)","(9, 4, 17, 3, 1, 1)","(9, 4, 73, 3, 1, 0)","(9, 6, 79, 1, 0, 0)","(8, 7, 71, 3, 0, 0)","(9, 8, 21, 3, 0, 1)",,,,,,
1,2,0,0,1,2,2,4,2,3,,,,,,
2,-3.0229154949471067,-1.5549850285357654,-1.2938528929464148,21.08100562233528,3.1501763985929205,7.858908453416888,32.46736480148181,-0.408052266692712,28.08289737427556,,,,,,
0,"(6, 1, 68, 2, 0, 0)","(9, 4, 53, 3, 0, 1)","(4, 5, 86, 3, 0, 0)","(9, 7, 40, 3, 0, 0)","(9, 8, 40, 3, 0, 0)","(9, 9, 40, 3, 1, 1)","(9, 10, 16, 3, 0, 3)",,,,,,,,
1,0,3,2,0,4,2,2,,,,,,,,
2,16.152021774212738,25.16964050275226,-14.502732760915208,-1.773279390581575,21.45114487327249,22.38039621227088,19.625285304172863,,,,,,,,
0,"(6, 1, 39, 3, 0, 1)","(8, 2, 50, 2, 0, 0)","(9, 3, 16, 3, 0, 1)","(9, 4, 13, 3, 1, 1)","(4, 5, 27, 3, 0, 0)","(9, 6, 26, 3, 0, 0)","(9, 7, 14, 3, 0, 0)","(9, 8, 36, 3, 0, 0)","(9, 9, 49, 3, 0, 1)","(9, 9, 16, 3, 0, 2)","(9, 10, 49, 3, 0, 2)","(9, 11, 88, 3, 0, 0)","(8, 11, 42, 3, 0, 1)",,
1,2,0,2,3,2,2,0,1,2,2,2,4,1,,
2,15.18343202435955,6.9133668239794055,6.638977901179968,15.818639597191094,-3.0071689265640913,-2.460552454204615,18.910647656194115,2.3771202241831335,6.5619934077581865,10.104865540305354,9.791436746287573,20.23360182502308,9.966953479869666,,
0,"(7, 1, 5, 3, 0, 0)","(9, 3, 36, 3, 0, 0)","(4, 6, 77, 3, 0, 1)","(3, 7, 52, 3, 0, 0)","(3, 8, 49, 3, 0, 1)","(9, 9, 48, 3, 0, 1)","(9, 9, 51, 3, 0, 1)","(9, 9, 49, 3, 0, 1)","(9, 10, 36, 3, 0, 1)",,,,,,
1,0,3,4,0,1,4,4,2,1,,,,,,
2,17.33207435348632,33.72117590767694,26.407640528361423,14.780864387129204,-15.140898154101187,9.185369204269017,7.33447528152295,5.630727449849011,10.554717754633671,,,,,,
0,"(7, 1, 60, 3, 0, 0)","(9, 3, 88, 3, 0, 0)","(9, 3, 40, 3, 0, 0)","(9, 4, 75, 3, 0, 1)","(9, 6, 74, 3, 0, 0)","(9, 6, 22, 3, 0, 0)","(9, 7, 86, 3, 0, 0)","(9, 8, 40, 3, 1, 1)","(9, 9, 41, 3, 1, 1)","(8, 9, 42, 3, 1, 1)","(8, 9, 17, 3, 0, 1)","(9, 10, 17, 3, 0, 2)","(9, 11, 48, 3, 0, 1)",,
1,1,1,2,1,1,0,2,4,1,4,1,1,1,,
